River_Width,Indust_Areas,River_Slantness,Area_Type,Bed_soil_Saltness,Flow_Diverters,Length_of_Staritness,No_of_Streams_Mixing,No_of_River_Deep_Bends,Clayey_Soil_Presence,Mo_of_ExtractingPoints,River_Curvature,Sanity_Level,PH_Level,Dissolved_Oxygen,Zinc_Level,Normalized_carbon,Flourides_Presence,Water_Quality
1698.79,1,1.05,1,0.1953,1,657,30,1,140.0356,14,96,8.07,8.1,13.8,2.6,2,1,1
2079.92,0,2.72,0,0.0361,0,1829.62,3,0,69.174,6,9.95,2.13,6.7,14.4,0.1,1,0,0
2397.43,0,3.39,0,0.0123,0,1700.17,18,0,50.8452,2,3.14,1.63,7.3,15.8,0.6,1,0,0
2901.17,0,2.72,0,0.0327,0,1372.79,12,0,38.0776,8,19.54,3.84,7.2,14.5,0.3,0,0,0
1242.63,1,1.32,1,0.1626,1,875,33,1,172.6276,12,122.02,8.13,8.6,12.5,2.4,2,1,1
352.26,2,0.96,2,0.4249,2,300.85,49,2,219.994,16,138.11,11.77,5,10.5,4.7,3,1,2
2594.93,0,3.68,0,0.03,0,1867.42,5,0,52.4551,0,11.33,3.86,6.7,15.2,0.8,0,0,0
867.92,2,0.35,2,0.2752,2,54.67,47,2,222.821,18,184.34,18.77,6.2,11.9,5.2,3,1,2
1008.97,1,1.78,1,0.0885,1,636.52,34,1,128.6176,15,34.81,8.07,8.6,12.2,2.7,2,1,1
2963.3,0,3.73,0,0.0027,0,1158.1,9,0,72.3989,6,8.53,0.95,7.3,14.9,0.7,0,0,0
2784.05,0,3.96,0,0.0411,0,1569.29,5,0,19.1985,0,6.51,3.05,6.8,14.6,1.3,1,0,0
1012.96,1,1.38,1,0.0628,1,524.46,25,1,197.4137,14,82.97,6.76,8.6,13.4,3.9,2,1,1
2678.4,0,3.19,0,0.0172,0,1636.8,19,0,37.1312,4,19.93,2.45,7,15.4,0.2,1,0,0
1472.3,1,1.92,1,0.0729,1,620.84,25,1,152.7162,11,118.72,7.06,8.9,13.7,2.2,2,1,1
2965.9,0,3.23,0,0.0366,0,1400.62,16,0,13.426,0,10.98,4.45,7.1,14.5,0.2,0,0,0
2255.02,0,3.25,0,0.0025,0,1542.09,17,0,72.3949,2,0.11,1.7,6.9,14.4,1.3,1,0,0
325.12,2,0.53,2,0.4513,2,62.85,48,2,204.9457,18,146.05,10.72,5,10.6,5.5,3,1,2
2430.03,0,3.11,0,0.0081,0,1881.6,12,0,6.0854,5,7.95,1.9,7.3,14,1.4,1,0,0
704.89,2,0.94,2,0.325,2,36.94,40,2,298.443,21,205.72,20.13,6.2,12.1,4.2,3,1,2
1504.87,1,1.43,1,0.1783,1,503.02,28,1,194.6367,12,83.51,5.43,8.7,12.2,2.6,2,1,1
704.25,2,0.52,2,0.2822,2,27.08,46,2,268.6728,18,245.47,17.53,6,10.9,4.8,3,1,2
234.17,2,0.88,2,0.4789,2,485.93,46,2,294.9668,19,131.48,28.76,5.7,10.1,5.5,3,1,2
1463.09,1,2.24,1,0.0644,1,728.13,27,1,194.2426,11,73.52,7.13,8,13.3,2.5,2,1,1
648.52,2,0.98,2,0.3142,2,477.28,50,2,297.9172,19,163.05,23,5.6,11.4,4.5,3,1,2
1333.78,1,1.81,1,0.1247,1,979.8,28,1,97.6579,13,67.8,5.67,8.8,13.7,3.7,2,1,1
994.6,2,0.12,2,0.4256,2,330.2,43,2,256.3871,18,219.12,24.44,6.3,12,5.9,3,1,2
2834.56,0,3.52,0,0.0011,0,1599.37,5,0,10.8649,5,11.02,0.7,6.9,14.9,1.5,1,0,0
2017.08,0,3.95,0,0.0248,0,1654.16,18,0,4.0988,4,7.42,2.88,6.8,15.1,0.8,0,0,0
70.61,2,0.35,2,0.3059,2,165.27,42,2,290.3899,17,241.7,16.23,6.2,11.3,4.4,3,1,2
2761.49,0,3.27,0,0.0281,0,1946.99,14,0,67.7042,0,4.22,0.53,6.5,15.3,1.8,1,0,0
110.98,2,0.76,2,0.3602,2,69.3,50,2,245.6458,20,182.72,13.4,5.7,11.3,4.3,3,1,2
2056.56,0,3.33,0,0.0162,0,1860.24,19,0,12.5407,3,9.63,0.09,7,15.4,1.9,1,0,0
1012.44,1,1.13,1,0.1424,1,527.29,32,1,83.8613,15,73.39,7.75,7.8,13.1,2.4,2,1,1
2158.51,0,3.56,0,0.0495,0,1702.03,5,0,51.336,4,12.29,0.43,6.8,14.9,1.2,0,0,0
919.96,2,0.06,2,0.3424,2,430.11,38,2,229.3505,18,161.56,19.91,5.3,10.3,5.3,3,1,2
857.65,2,0.31,2,0.3131,2,331.67,48,2,251.7402,16,189.27,11.27,5.2,10.2,4.2,3,1,2
1210.63,1,1.37,1,0.2089,1,953.14,29,1,184.8626,11,55.57,7.55,8.5,14,3.4,2,1,1
465.37,2,0.26,2,0.2787,2,375.67,44,2,269.2232,21,166.61,29.21,5.2,10.1,5.4,3,1,2
2626.19,0,2.58,0,0.0248,0,1971.81,12,0,32.0609,2,6.67,0.19,7.1,15.5,0.3,0,0,0
1217.58,1,2.12,1,0.2131,1,707.82,25,1,101.6732,9,98.18,7.65,7.8,13.5,3.2,2,1,1
2440.66,0,3.36,0,0.0261,0,1705.06,16,0,46.2742,6,0.58,2.1,7.2,15.6,0.6,0,0,0
102.31,2,0.49,2,0.4454,2,372.33,47,2,246.3077,21,232.93,26.2,6.3,11.1,5.5,3,1,2
1154.44,1,1.09,1,0.1426,1,632.55,29,1,175.7383,13,129.07,8.2,9,13,3.8,2,1,1
561.49,2,0.16,2,0.4775,2,59.34,45,2,230.0413,16,134.36,23.49,5.2,10.6,4.3,3,1,2
315.51,2,0.95,2,0.3727,2,200.69,41,2,221.3388,20,196.96,19.1,5.2,10.9,6,3,1,2
2334.43,0,3.3,0,0.0161,0,1344.17,12,0,14.3592,1,5.25,0.84,7.5,14.5,0.4,0,0,0
2727.98,0,2.93,0,0.0136,0,1165.88,14,0,40.7364,6,16.95,0.68,6.8,16,0.6,1,0,0
280.46,2,0.48,2,0.467,2,371.95,44,2,269.571,16,155.2,10.3,5.6,11,5.3,3,1,2
643.14,2,0.67,2,0.4905,2,352.36,48,2,264.2562,19,179.74,29.27,5.9,11.2,4.2,3,1,2
2316.55,0,3.49,0,0.0475,0,1133.94,18,0,13.456,5,6.37,0.68,6.8,16,0.8,1,0,0
1064.68,1,1.11,1,0.0619,1,746.9,33,1,165.643,10,25.48,7.84,8.8,13.8,2.3,2,1,1
1275.94,1,1.53,1,0.2156,1,612.2,32,1,155.5768,10,70.57,8.68,8,12.7,2.7,2,1,1
1117.09,1,2.35,1,0.1165,1,867.3,23,1,194.8542,9,88.34,7.88,7.6,13.6,2.8,2,1,1
1244.36,1,1.3,1,0.1694,1,765.7,25,1,144.5536,9,108.99,6.03,7.6,13.4,3.7,2,1,1
998.23,2,0.92,2,0.2986,2,389.15,39,2,245.861,20,131.95,28.59,5.3,11,5.7,3,1,2
546.77,2,0.37,2,0.3165,2,496.52,50,2,295.2028,21,164.66,27.41,5.7,11.9,5.4,3,1,2
716.29,2,0.91,2,0.4988,2,426.52,38,2,214.9732,21,213.09,10.46,6.2,11.4,4.7,3,1,2
2952.26,0,2.82,0,0.0245,0,1679.29,0,0,35.6725,2,11.47,1.86,7.3,14.4,0.7,0,0,0
1096.78,1,2.04,1,0.1959,1,507.04,24,1,181.1277,11,74.6,6.8,7.6,12.9,2.7,2,1,1
1505.45,1,1.07,1,0.0584,1,757.27,34,1,165.3951,15,23.24,5.05,7.8,13.8,2.7,2,1,1
1195.28,1,1.94,1,0.1383,1,689.87,21,1,137.8549,11,61.88,7.75,7.6,13.2,4,2,1,1
2437.44,0,3.45,0,0.0499,0,1249.43,0,0,60.1001,7,13.7,4.33,7.4,15.2,0.4,0,0,0
2942.77,0,2.52,0,0.03,0,1026.06,18,0,74.0435,3,5.39,0.3,7.4,15.5,0.9,0,0,0
395.47,2,0.92,2,0.3408,2,423.56,37,2,286.1253,20,194.47,15.88,5.4,10.5,5.5,3,1,2
1869.07,1,2.2,1,0.1955,1,573.82,35,1,190.9227,9,121.83,5.23,8.4,13,3,2,1,1
1192.45,1,1.47,1,0.0996,1,628.11,26,1,127.1372,14,79.39,6.74,8,13.5,2.6,2,1,1
729.65,2,0.15,2,0.2946,2,204.1,46,2,299.6383,18,194.23,12.82,6.2,10.3,4.5,3,1,2
2721.7,0,2.66,0,0.0433,0,1341.46,13,0,23.5063,7,16.46,1.48,7.4,16,1.6,0,0,0
1078.14,1,1.89,1,0.1107,1,547.2,27,1,189.8594,14,24.1,6.42,8.6,12.9,3.5,2,1,1
1558.79,1,2.09,1,0.1271,1,785.98,33,1,161.4878,15,29.2,6.44,8.3,12.4,3,2,1,1
2176.08,0,3.25,0,0.0266,0,1825.8,6,0,52.1304,7,11.03,2.71,6.6,14.9,1.8,0,0,0
260.76,2,0.31,2,0.3322,2,248.1,37,2,215.2157,20,173.92,18.41,5.3,11.1,5.9,3,1,2
1843.03,1,2.27,1,0.1968,1,534.08,21,1,148.3924,10,56.77,7.62,7.9,13.1,2.6,2,1,1
2258.37,0,3.28,0,0.0064,0,1024.41,18,0,4.4248,2,10.62,1.44,7.2,15.4,1.7,1,0,0
1637.7,1,1.34,1,0.1556,1,976.79,27,1,165.7737,13,96.62,7.19,8.7,12.2,3.2,2,1,1
334.2,2,0.64,2,0.2513,2,100.17,43,2,227.7807,21,190.11,25.27,5,10.8,5.1,3,1,2
1164.54,1,1,1,0.0918,1,726.07,32,1,199.3877,9,89.68,6.65,8,12.1,3.7,2,1,1
2579.45,0,3.36,0,0.0098,0,1990.05,2,0,48.1089,7,19.3,1.9,6.7,14.2,0.1,1,0,0
197.45,2,0.44,2,0.4728,2,103.19,42,2,266.92,17,158.38,21.79,5.8,10.5,6,3,1,2
2646.57,0,3.34,0,0.0467,0,1270.98,3,0,72.4939,5,12.79,2.95,6.9,15.1,1.4,1,0,0
1507.63,1,2.01,1,0.1111,1,611.16,24,1,189.6674,11,67.58,5.66,8.7,13.4,3.2,2,1,1
2544.56,0,3.82,0,0.0096,0,1196.85,1,0,6.1977,6,9.08,3.74,7.5,14,0.2,0,0,0
460.25,2,0.51,2,0.4485,2,130.12,45,2,257.6939,21,209.84,16.4,6,11.3,5.1,3,1,2
2200.17,0,3.15,0,0.0036,0,1898.25,12,0,1.1512,2,14.11,3.45,6.6,14.4,1.3,1,0,0
2911.49,0,3.93,0,0.0395,0,1430.36,12,0,50.3641,2,13.1,2.16,7,15.3,1.5,1,0,0
2415.57,0,2.74,0,0.026,0,1043.72,16,0,69.6816,3,3.89,2.01,6.8,14,1.5,1,0,0
2740.72,0,3.69,0,0.0464,0,1475.83,6,0,50.4044,0,16.93,0.22,6.8,14.5,1.9,0,0,0
1018.54,1,1.34,1,0.1827,1,597.61,28,1,83.9828,11,69.79,7.43,7.6,12.9,3,2,1,1
2927.29,0,2.52,0,0.0305,0,1617.07,13,0,54.8198,6,2.97,3.57,7.3,15.3,1.1,1,0,0
1529.26,1,2.24,1,0.1119,1,843.77,35,1,81.1999,13,56.8,7.33,8.4,13.1,2.2,2,1,1
371.62,2,0.4,2,0.4288,2,252.54,36,2,232.7032,20,192.01,27.24,6.2,10.6,5.7,3,1,2
2601.89,0,2.87,0,0.0278,0,1389.82,9,0,46.8744,3,0.76,1.18,6.9,15.2,0.1,0,0,0
2927.37,0,3.81,0,0.015,0,1872.37,5,0,57.741,7,13.03,4.67,7.3,15.8,0,1,0,0
97.02,2,0.72,2,0.2686,2,164.33,42,2,226.4637,16,181.93,19.2,5.3,10.9,5.9,3,1,2
68.9,2,0.07,2,0.431,2,248.39,48,2,237.1031,20,204.46,11.16,6.3,12,5.2,3,1,2
1917.82,1,2.13,1,0.2025,1,806.79,33,1,139.3243,10,99.12,5.82,8.8,13.4,2.6,2,1,1
1865.59,1,1.22,1,0.2494,1,697.31,29,1,170.0809,13,92.94,6.05,8.6,13.2,2.9,2,1,1
539.68,2,0.32,2,0.4006,2,429.25,38,2,202.4334,16,209.68,20.66,5.5,10.7,5,3,1,2
2747.85,0,3.75,0,0.0375,0,1563.49,1,0,23.8733,3,13,0.5,7,15,1.8,1,0,0
308.38,2,0.86,2,0.2788,2,241.81,38,2,243.1345,17,171.67,25.83,6.3,10.2,4.3,3,1,2
1812.47,1,1.9,1,0.2308,1,536.44,23,1,165.0391,10,62.79,7.03,8.7,13.4,2.2,2,1,1
2314.21,0,3.93,0,0.046,0,1447.36,2,0,29.0133,2,18.54,4.52,7.3,15.9,1.5,1,0,0
284.4,2,0.76,2,0.2944,2,380.59,50,2,244.6703,21,214.95,16.49,6.3,10.5,5,3,1,2
671.31,2,0.83,2,0.4436,2,25.13,47,2,223.1773,18,192.66,27.99,5.6,11.3,5.9,3,1,2
1966.66,1,1.82,1,0.1206,1,900.12,26,1,99.4505,10,54.06,7,8.6,12.6,2.8,2,1,1
1588.05,1,1.43,1,0.2037,1,801.97,32,1,191.2783,10,72.1,6.68,8.2,13,3.8,2,1,1
2100.57,0,2.75,0,0.0364,0,1954.39,15,0,60.0267,0,13.39,1.77,7.2,14.8,0.7,0,0,0
2209.45,0,2.62,0,0.0376,0,1215.29,9,0,28.0077,7,7.03,3.16,7.1,15.2,1.3,0,0,0
1219.68,1,1.82,1,0.2474,1,576.07,33,1,159.7272,12,106.67,6.68,8.9,12.7,2.2,2,1,1
339.47,2,0.04,2,0.3931,2,106.09,41,2,267.0139,18,182.39,16.55,6,11.9,5.7,3,1,2
1976.38,1,2.33,1,0.193,1,823.84,32,1,147.6015,14,108.37,8.25,8,13.6,2.1,2,1,1
1345.83,1,2.15,1,0.1636,1,529.31,33,1,145.4005,13,98.13,7.67,7.9,13.5,4,2,1,1
1309.69,1,2.19,1,0.0631,1,621.18,27,1,133.8511,15,36.76,6.12,8.3,13.8,2.3,2,1,1
1801.31,1,1.87,1,0.0772,1,985.9,33,1,106.9688,10,49.93,6.4,8.9,13.9,2.6,2,1,1
1488.33,1,2.1,1,0.0869,1,678.9,28,1,122.8141,10,64.74,5.18,8.4,13.4,2.9,2,1,1
387.43,2,0.91,2,0.3054,2,393.38,48,2,261.4368,20,217.38,10.66,6,11.4,5,3,1,2
1573.82,1,1.52,1,0.1051,1,729.23,33,1,120.7784,15,92.11,5.63,8.3,12.3,3.8,2,1,1
2329.54,0,3.87,0,0.0433,0,1728.95,11,0,67.3292,2,9.45,0.28,6.8,15.4,1.7,1,0,0
699.83,2,0.18,2,0.3416,2,273.8,40,2,221.284,19,160.18,19.16,5.1,10.8,4.2,3,1,2
790.54,2,0.91,2,0.3941,2,170.51,49,2,223.613,19,134.86,14.19,5.9,11.3,4.5,3,1,2
1340.34,1,1.66,1,0.1812,1,690.28,31,1,140.7293,9,54.03,5.82,8.8,13.6,2.4,2,1,1
677.99,2,0.8,2,0.4489,2,56.64,39,2,289.68,20,239.38,14.87,5.3,10.1,5.6,3,1,2
2368.38,0,2.81,0,0.0314,0,1447.14,8,0,27.8956,8,11.51,1.17,7.2,14,1,1,0,0
1593.32,1,1.92,1,0.0506,1,822.25,31,1,125.7446,14,55.79,6.25,8.5,12.4,3.6,2,1,1
1300.05,1,2.25,1,0.2238,1,909.89,27,1,136.3069,11,29.94,8.82,8.3,12.3,3.4,2,1,1
329.36,2,0.44,2,0.3969,2,82,43,2,238.9288,16,135.03,11.25,6.1,10.2,4.7,3,1,2
760.94,2,0.47,2,0.3419,2,197.11,39,2,208.3794,18,137.65,18.74,5,10.1,4.5,3,1,2
1539.53,1,1.81,1,0.2113,1,852.33,33,1,153.1069,15,79.99,5.87,8,13.2,3.4,2,1,1
2063.59,0,2.69,0,0.035,0,1460.61,13,0,47.8806,3,9.27,1.88,7,14.7,0.6,1,0,0
1333.99,1,1.67,1,0.0888,1,822.65,23,1,79.1406,11,57.94,5.81,8.8,13.3,2.7,2,1,1
1706.33,1,1.29,1,0.208,1,577.31,27,1,125.3181,10,36.25,7.85,7.9,13.1,3.1,2,1,1
132.86,2,0.82,2,0.2994,2,477.66,46,2,294.0512,20,200.53,19.62,5.1,10.6,5.5,3,1,2
273.56,2,0.78,2,0.3435,2,159.56,47,2,243.0013,16,151.87,19.96,5.3,11.2,4.2,3,1,2
1132.05,1,1.26,1,0.1743,1,916.96,33,1,191.2715,11,28.34,5.26,7.6,12.8,2.8,2,1,1
1103.65,1,1.41,1,0.1389,1,637.82,23,1,168.0383,15,37.22,7.64,8.2,13.3,2.9,2,1,1
2305.46,0,2.51,0,0.0022,0,1458.76,11,0,30.436,3,19.09,2.35,7.1,14.5,1.1,1,0,0
368.65,2,0.62,2,0.3376,2,350.75,37,2,269.424,16,131.05,22.91,5.9,11.4,5.7,3,1,2
29.84,2,0.48,2,0.418,2,393.24,44,2,273.8236,19,199.88,19.07,5.3,11.4,5.8,3,1,2
2219.36,0,3.47,0,0.0181,0,1090.91,17,0,26.3082,6,10.1,2.05,7.5,15,0.5,0,0,0
732.39,2,0.3,2,0.4079,2,233.87,49,2,275.4961,21,244.88,9.33,5.6,10.3,6.1,3,1,2
2637.07,0,3.93,0,0.0461,0,1100.5,17,0,0.8459,2,5.45,2.48,6.6,14.9,1.4,0,0,0
877.53,2,0,2,0.3164,2,74.37,38,2,255.5048,16,167.43,12.56,5.2,11.2,4.2,3,1,2
1743.71,1,1.6,1,0.1678,1,820.88,29,1,131.9419,15,46.11,5.66,8.6,13.8,2.6,2,1,1
2028.47,0,3.05,0,0.0164,0,1728.12,4,0,28.6946,7,4.91,0.37,7.3,14.7,1.2,0,0,0
418.34,2,0.92,2,0.4064,2,293.65,45,2,239.8252,21,202.49,20.57,6.3,11,6,3,1,2
2152.75,0,3.35,0,0.013,0,1505.04,0,0,55.5732,8,11.19,2.11,7.1,14.1,1,1,0,0
1587.15,1,2.35,1,0.1126,1,661.08,32,1,102.6893,12,104.08,5.25,8.2,12.3,3.8,2,1,1
1040.48,1,2.15,1,0.1271,1,534.28,31,1,140.4262,13,81.75,5.71,7.9,13.4,3.3,2,1,1
906.91,2,0.81,2,0.4779,2,194.45,37,2,274.4059,18,159.36,24.71,5.7,10.8,4.4,3,1,2
819.06,2,0.69,2,0.3936,2,199.61,50,2,212.7545,19,176.75,14.2,5.8,10.6,4.9,3,1,2
1715.31,1,1.12,1,0.1716,1,958.2,26,1,192.189,9,56.1,8.51,8.8,12.3,2.1,2,1,1
2220.64,0,3.08,0,0.0146,0,1085.94,19,0,4.1388,0,11.56,3.7,6.6,15.7,0.7,0,0,0
550.17,2,0.17,2,0.3451,2,321.71,41,2,253.8816,17,149.64,20.12,5.6,11.2,5.6,3,1,2
1442.25,1,1.55,1,0.2145,1,663.34,31,1,166.8544,13,34.29,5.48,8.5,13.5,3.7,2,1,1
2394.43,0,3.08,0,0.0185,0,1353.65,1,0,43.1661,5,16.39,2.29,7.5,15.3,1.1,0,0,0
2388.82,0,3.25,0,0.0412,0,1589.13,10,0,25.9715,2,0.33,0.87,7.1,14.9,1.6,0,0,0
2244.84,0,2.99,0,0.0321,0,1057.21,19,0,13.9152,7,9.67,4.51,6.7,14.3,1.2,0,0,0
570.92,2,0.51,2,0.3108,2,190.21,46,2,205.1137,19,202.36,16.55,6,10.3,5.3,3,1,2
847.49,2,0.4,2,0.3174,2,54.16,43,2,213.9958,21,236.14,9.1,6.3,12,5.6,3,1,2
725.04,2,0.32,2,0.4664,2,230.55,50,2,289.4125,18,246.85,14.37,6.1,10.8,4.5,3,1,2
1634.61,1,1.92,1,0.1792,1,993.7,26,1,122.0533,15,61.22,6.22,7.9,12.2,2.2,2,1,1
2201.93,0,2.76,0,0.0442,0,1369.38,16,0,11.3502,6,18.4,0.75,6.9,14.6,0.8,1,0,0
291.01,2,0.96,2,0.2831,2,151.28,42,2,244.1818,20,175.11,16.36,5.1,11.8,6,3,1,2
2079.49,0,3.72,0,0.0194,0,1023.41,19,0,49.9173,1,3.55,4.27,6.7,14.2,1.5,0,0,0
2671.64,0,3.16,0,0.0266,0,1420.84,16,0,59.5029,0,16.88,3.46,7.1,14.9,0.4,1,0,0
865.19,2,0.29,2,0.4959,2,145.63,41,2,212.509,19,147.15,21.35,5.1,11.6,5.9,3,1,2
955.65,2,0.16,2,0.3641,2,76.4,36,2,234.1194,17,243.05,24.02,5.6,12.1,4.8,3,1,2
1101.28,1,2.1,1,0.2207,1,604.42,28,1,150.2895,9,45.41,8.58,8.5,13.8,2.7,2,1,1
339.1,2,0.29,2,0.3706,2,46.67,50,2,265.8877,21,142.35,11.49,5.3,11.4,5.1,3,1,2
1170.54,1,1.98,1,0.1177,1,556.88,26,1,122.1462,14,92.62,5.42,8.1,12.2,2.7,2,1,1
1217.85,1,1.53,1,0.211,1,670.38,31,1,149.2276,14,24.68,7.57,8.9,12.8,3.9,2,1,1
2332.18,0,2.86,0,0.0251,0,1293.3,6,0,27.537,6,19.67,4.84,6.7,14.3,0.8,1,0,0
966.95,2,0.06,2,0.3062,2,324.12,37,2,279.5419,18,194.29,9.2,5.6,10.5,5.5,3,1,2
1254.55,1,2.23,1,0.2433,1,526.24,22,1,103.9379,11,114.99,6.81,7.8,13.1,3.9,2,1,1
2887.76,0,3.31,0,0.009,0,1803.69,6,0,45.8489,8,16.4,2.43,6.9,14,1.2,0,0,0
587.9,2,0.3,2,0.2725,2,485.58,41,2,227.2422,18,207,10.81,5.4,11.1,5.6,3,1,2
2763.97,0,3.52,0,0.0031,0,1340.7,0,0,53.4401,5,2.44,1.36,6.9,14.2,0.4,1,0,0
2396.31,0,3.23,0,0.036,0,1652.56,11,0,67.7333,3,13.06,3.66,6.8,14.9,1.6,1,0,0
2804.87,0,3.16,0,0.0466,0,1499.11,8,0,35.8678,6,5.53,1.12,6.7,15.9,0.4,0,0,0
899.13,2,0.12,2,0.2672,2,398.51,47,2,292.997,19,240.3,13.86,5.3,10.3,6.1,3,1,2
2215.3,0,3.56,0,0.0099,0,1167.61,14,0,50.8068,8,4.91,2.17,6.5,15.5,1.9,0,0,0
536.38,2,0.4,2,0.453,2,475.6,41,2,224.1736,21,160.06,14.36,6.3,11.9,4.1,3,1,2
1102.97,1,1.34,1,0.2026,1,930.14,33,1,101.5002,11,68.58,6.82,8.6,13,3.9,2,1,1
1264.01,1,1.42,1,0.2053,1,515.01,35,1,151.1632,12,103.24,7.5,8.1,12.9,2.2,2,1,1
191.51,2,0.68,2,0.2606,2,167.87,47,2,260.4452,21,149.86,24.68,5.6,11.3,5.6,3,1,2
2612.15,0,2.82,0,0.0069,0,1032.02,8,0,18.7608,8,1.45,0.67,6.9,14.1,1.8,0,0,0
187.14,2,0.39,2,0.3688,2,41.67,38,2,251.6398,16,200.76,15.79,5.9,12,5.1,3,1,2
1165.45,1,1.94,1,0.0672,1,672.45,31,1,174.9729,14,49.47,5.14,8.4,12.9,3.8,2,1,1
221.05,2,0.88,2,0.4719,2,257.69,45,2,291.8364,20,183.18,23.22,5.1,10.8,6,3,1,2
75.28,2,0.84,2,0.3661,2,198.42,43,2,280.4969,20,156.78,24.91,5.7,10.6,5.4,3,1,2
487.12,2,0.09,2,0.3129,2,356.92,39,2,256.0957,16,142.44,22.32,6.1,10.5,4.5,3,1,2
462.27,2,0.92,2,0.4885,2,56.16,37,2,229.1424,16,174.04,21.84,6.3,11.5,5.2,3,1,2
1754.25,1,1.14,1,0.141,1,873.71,35,1,117.2357,14,83.17,7.87,7.9,13,2.6,2,1,1
1845.12,1,2.11,1,0.0762,1,942.03,30,1,181.2196,12,59.03,6.61,7.8,12.9,2.4,2,1,1
1215.68,1,2.14,1,0.1624,1,536.88,26,1,184.1658,12,58.07,8.7,7.8,13.1,3.4,2,1,1
1447.15,1,1.86,1,0.1202,1,592.4,31,1,148.6011,13,116.14,7.88,7.6,12.3,3.7,2,1,1
2106.61,0,2.85,0,0.0338,0,1510.48,20,0,36.2089,6,18.13,4.77,7.5,14.1,0.3,1,0,0
2622.12,0,3.8,0,0.0235,0,1094.03,16,0,74.6477,2,13.72,3.29,6.9,14.3,0.7,0,0,0
995.14,2,0,2,0.4229,2,199.21,42,2,237.8794,20,218.63,16.18,5.5,11.7,5.1,3,1,2
1844.04,1,1.71,1,0.0596,1,922.51,25,1,106.137,11,90.22,8.43,8.5,13.5,3.9,2,1,1
1888.12,1,1.4,1,0.1119,1,726.83,28,1,96.9984,12,76.81,8.86,7.6,13.1,3.3,2,1,1
1284.28,1,1.13,1,0.2016,1,734.53,21,1,198.6023,13,58.8,6.95,8,13.3,3.1,2,1,1
561.77,2,0.87,2,0.4171,2,297.24,48,2,284.0011,21,162.69,18.76,5.9,11.6,4.5,3,1,2
2872.33,0,3.18,0,0.0121,0,1886.96,8,0,6.8942,4,3.96,2.03,7.3,14.5,1.3,0,0,0
1346.9,1,1.67,1,0.0666,1,796.34,24,1,113.4895,15,81.83,7.3,7.6,12.3,3.5,2,1,1
1243.05,1,2.09,1,0.0702,1,543.59,32,1,183.0901,13,124.63,8.73,8.8,13.3,3.8,2,1,1
443.02,2,0.33,2,0.2817,2,463.07,44,2,213.6371,18,219.15,9.36,6.1,10.2,4.5,3,1,2
2041.69,0,3.87,0,0.05,0,1991.67,0,0,66.4427,1,10.06,0.62,7.1,15.5,1.6,0,0,0
2830.55,0,2.83,0,0.0387,0,1159.07,5,0,38.6788,1,1.55,1.02,7.4,14.6,0.5,1,0,0
1388.19,1,1.69,1,0.0822,1,750.01,22,1,78.1364,12,86.79,7.04,7.9,13.9,2.6,2,1,1
2399.93,0,3.11,0,0.0377,0,1208.65,15,0,53.4167,7,18.46,0.83,7.1,16,0.8,1,0,0
370.83,2,0,2,0.4195,2,113.16,36,2,286.9575,19,141.39,13.15,6.3,10.2,5.9,3,1,2
1779.35,1,2.06,1,0.0631,1,743.87,33,1,190.1961,14,110.91,8.99,8.5,12.6,2.8,2,1,1
561.72,2,0.79,2,0.2562,2,309.54,46,2,297.2277,17,238.08,9.13,5.4,10.4,4.6,3,1,2
755.48,2,0.83,2,0.3941,2,286.5,40,2,245.2577,17,165.29,12.01,5.5,10.6,4.3,3,1,2
2975.71,0,3.64,0,0.0068,0,1246.12,3,0,66.228,5,14.46,4.74,6.9,14.4,0.6,1,0,0
984.61,2,0.59,2,0.3455,2,188.73,40,2,278.8249,17,189.16,10.5,5.3,11.3,4.7,3,1,2
2760.82,0,3.23,0,0.0329,0,1264.17,9,0,58.5714,1,7.32,2.45,6.8,16,1.8,1,0,0
639.38,2,0.83,2,0.4522,2,111.77,46,2,293.6576,16,231.93,18.75,5.3,11.1,6.1,3,1,2
282.5,2,0.74,2,0.2898,2,477.57,36,2,241.9178,21,211.26,20.34,5.9,12,5.4,3,1,2
1126.48,1,1.76,1,0.2133,1,638.21,24,1,190.3883,13,89.97,5.26,8.4,13.4,2.9,2,1,1
2787.84,0,2.95,0,0.015,0,1352.77,12,0,46.7194,2,1.34,3.28,7,15.2,1.3,1,0,0
740.93,2,0.75,2,0.371,2,399.58,44,2,224.0333,16,178.68,27.79,5.6,11.7,5.2,3,1,2
1686.76,1,2.38,1,0.1519,1,876.55,31,1,84.8369,14,114.49,7.44,7.6,12.4,3.5,2,1,1
2021.27,0,3.33,0,0.0385,0,1496.69,3,0,33.0178,1,10.48,1.94,7.5,15.4,1.5,0,0,0
488.14,2,0.11,2,0.4698,2,107.26,44,2,236.5361,19,158.82,15,5.8,11.6,5.4,3,1,2
2160.85,0,3.91,0,0.0125,0,1554.62,9,0,49.3047,0,13.86,3.23,7.4,15.3,0.6,0,0,0
1735.6,1,1.32,1,0.1626,1,649.02,32,1,97.8998,14,70.14,8.79,8.2,12.4,2.9,2,1,1
2021.18,0,3.21,0,0.0077,0,1924.1,17,0,56.9255,6,5.5,4.53,7.4,14.9,1.8,0,0,0
